trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.0045, 'e': 0.6347652712514177}",20,0,-39.04852547410675,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
102,False,"{'a': 0.0045, 'e': 0.6319152448994959}",25,3,0.5847674016644775,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.0045, 'e': 0.6290780148528772}",20,0,-50.02235519047479,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
104,False,"{'a': 0.0045, 'e': 0.6262535236575559}",25,2,-92.93855446790057,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 2}",1
105,False,"{'a': 0.0045, 'e': 0.6234417141174892}",20,0,16.385478783289674,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.0045, 'e': 0.6206425292934373}",20,7,-116.6773859618255,"{0: 4, 1: 3, 2: 3, 3: 2, 4: 1}",1
107,False,"{'a': 0.0045, 'e': 0.6178559125018123}",20,0,-51.66667220089306,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.0045, 'e': 0.6150818073135287}",30,0,-96.905498035562,"{0: 22, 1: 0, 2: 6, 3: 1, 4: 1}",0
109,False,"{'a': 0.0045, 'e': 0.6123201575528617}",20,0,-90.85615095487314,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
110,False,"{'a': 0.0045, 'e': 0.6095709072963094}",20,0,-36.280465275661584,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
111,False,"{'a': 0.0045, 'e': 0.6068340008714599}",20,0,-70.59003886541795,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
112,False,"{'a': 0.0045, 'e': 0.6041093828558647}",25,0,-55.465957032823425,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
113,False,"{'a': 0.0045, 'e': 0.601396998075916}",30,11,-47.661567216198954,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.0045, 'e': 0.5986967916057292}",25,0,-22.843502318748925,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
